id,Q1,Q2,Q3_1,Q3_2,Q3_3,Q4,Q5,region_s,region_mid,region_ne,region_w,treat,prog_apply,day_apply,month_apply,year_apply,pull
435233,Anastasia,Guliyev,30,7,1964,13,f,0,0,0,1,1,0,,,,1
779620,Crystal,Nguyen,29,3,1983,13,f,0,0,0,1,1,1,12,12,2021,1
471943,Isabella,Sanchez,23,9,1990,15,f,1,0,0,0,0,0,,,,1
375380,Maitreyi,Venkatraman,8,7,1968,17,f,0,0,1,0,1,1,,,,1
706504,Tariq,Measher,21,8,1991,17,m,0,0,0,1,1,0,14,12,2021,1
748968,Andrea,Calderon,21,5,1959,16,f,0,0,0,1,1,0,,,,1
105028,Nimer,Sawalha,11,10,1960,17,m,0,1,0,0,0,1,7,12,2021,1
132858,Abdul Latif,Jameel,9,7,1980,13,m,0,0,1,0,0,1,2,12,2021,1
960046,Muhammed,Almuashar,22,10,1589,13,m,0,0,1,0,1,0,,,,1
807017,Anthea,Huang,15,4,1988,17,f,1,0,0,0,0,1,20,12,2021,1
663808,Eileen,Gu,11,3,1958,13,f,1,0,0,0,0,0,,,,1
779776,Romina,Sauto,12,10,1988,17,f,0,0,1,0,1,0,,,,1
797936,Yacob,Rugloski,2,27,1994,13,m,0,0,1,0,1,0,,,,1
435233,Xiaoyue,Leng,5,4,1992,22,f,1,0,0,0,0,0,9,12,2021,1
851492,Rui,Zhang,16,9,1972,14,m,0,0,1,0,1,0,,,,1
809022,Emma,Setow,27,9,1975,15,m,0,0,1,0,1,1,,,,1
598545,Abdou,Traore,30,10,1991,13,m,0,1,0,0,0,0,,,,1
372541,Amahle,Nkosi,28,8,6119,13,f,0,0,0,1,1,1,19,12,2021,1
233288,Nicolas,Choi,29,7,1979,17,m,0,1,0,0,0,0,,,,1
374488,John,Doe,4,4,1961,17,m,0,1,0,0,1,0,9,12,2021,1
