id,Q1,Q2,Q3_1,Q3_2,Q3_3,Q4,Q5,region_s,region_mid,region_ne,region_w,treat,prog_apply,day_apply,month_apply,year_apply,pull
0000574064,Michael,Lin,30,1,1968,2,m,0,0,1,0,1,1,11,3,2022,2
0000249484,Deepak,Subramanian,8,6,1980,3,m,0,0,1,0,1,0,,,,2
0000121296,Fleur,Descartes,20,4,1969,1,,0,1,0,0,0,0,,,,2
0000816498,John,Sobieski,11,11,1982,3,m,0,1,0,0,0,1,14,3,2022,2
0000521880,Eoin,McCabe,26,5,1970,3,m,0,1,0,0,0,0,,,,2
0000942277,Ivan,Ivanovic,21,3,1981,4,m,0,0,0,1,1,1,,,,2
0000526054,Michelle,Rodriguez,18,1,1996,1,,0,0,0,1,1,0,,,,2
0000438294,Osiris,Trejo,7,2,1996,2,,1,0,0,0,0,0,,,,2
0000408457,Jennyfer,Bermeo,21,10,1976,2,,0,0,0,1,1,0,,,,2
0000238836,Tiffany,Wei,5,8,1983,3,,1,0,0,0,0,1,7,3,2022,2
0000552400,Sebastian,Johnson,3,2,1973,3,m,0,0,1,0,1,0,,,,2
0000716695,Alexis,van der Hoeven,26,8,1976,3,,1,0,0,0,0,0,6,3,2022,2
0000329378,Aoife,O'Brien,9,8,1974,1,,0,0,0,1,1,1,,,,2
0000323859,Marcus,Vanderpool,20,2,1985,1,m,1,0,0,0,0,0,,,,2
0000191994,Ahmad,Sari,19,2,1995,2,m,1,0,0,0,0,1,17,3,2022,2
0000440216,Janice,Seo,13,8,1988,2,,0,1,0,0,0,0,,,,2
0000144826,Nadia,Kryatov,17,11,1993,1,,0,0,1,0,1,0,,,,2
0000672053,Abhijit,Banerjee,17,8,1982,3,m,0,1,0,0,0,0,,,,2
0000803205,Kimberly,Abkarian,23,10,1974,2,,0,0,0,1,1,1,7,3,2022,2
0000454955,Petro,Galastyan,21,10,1965,4,m,0,0,1,0,1,0,7,3,2022,2
0000435233,Anastasia,Guliyev,30,7,1964,1,,0,0,0,1,1,0,,,,2
0000779620,Crystal,Nguyen,29,3,1983,1,,0,0,0,1,1,1,12,12,2021,2
0000471943,Isabella,Sanchez,23,9,1990,2,,1,0,0,0,0,0,,,,2
0000375380,Maitreyi,Venkatraman,8,7,1968,3,,0,0,1,0,1,1,14,12,2021,2
0000706504,Tariq,Measher,21,8,1991,3,m,0,0,0,1,1,0,,,,2
0000748968,Andrea,Calderon,21,5,1959,2,,0,0,0,1,1,0,,,,2
0000105028,Nimer,Sawalha,11,10,1960,3,m,0,1,0,0,0,1,7,12,2021,2
0000132858,Abdul Latif,Jameel,9,7,1980,1,m,0,0,1,0,0,1,2,12,2021,2
0000960046,Muhammed,Almuashar,22,10,1959,1,m,0,0,1,0,1,0,,,,2
0000807017,Anthea,Huang,15,4,1988,3,,1,0,0,0,0,1,20,12,2021,2
0000663808,Eileen,Gu,11,3,1958,1,,1,0,0,0,0,0,,,,2
0000779776,Romina,Sauto,12,10,1988,3,,0,0,1,0,1,1,,,,2
0000797936,Yacob,Rugloski,27,2,1994,1,m,0,0,1,0,1,1,21,3,2022,2
0000435233,Xiaoyue,Leng,5,4,1992,4,,1,0,0,0,0,0,,,,2
0000851492,Rui,Zhang,16,9,1972,2,m,0,0,1,0,1,1,,,,2
0000809022,Emma,Setow,27,9,1975,2,m,0,0,1,0,1,1,9,12,2021,2
0000598545,Abdou,Traore,30,10,1991,1,m,0,1,0,0,0,0,,,,2
0000372541,Amahle,Nkosi,28,8,1961,1,,0,0,0,1,1,1,19,12,2021,2
0000233288,Nicolas,Choi,29,7,1979,3,m,0,1,0,0,0,0,,,,2
0000374488,John,Doe,4,4,1961,3,m,0,1,0,0,1,1,10,3,2022,2
